author,year,units,species,spec,region,site,recovery,acc,exp.dur,cm1,s1,n1,c.temp,c.pco2,am3,s3,n3,a.pco2,wm4,s4,n4,w.temp,m6,s6,n6,i.temp,i.pco2
Okazaki,2017,Y,Dichocoenia stokesii,DSTO,Florida Keys,Key West,4 w,10 d,6 w,0.6825,0.121848266,4,27,3.8,0.6564,0.43250237,5,1.7,0.440125,0.485572545,8,30.3,NA,NA,NA,NA,NA
Okazaki,2017,Y,Montastraea cavernosa,MCAV,Florida Keys,Key West,4 w,10 d,6 w,0.152,0.355014554,4,27,3.8,0.33875,0.213482825,4,1.7,0.244222222,0.23531669,9,30.3,NA,NA,NA,NA,NA
Okazaki,2017,Y,Orbicella faveolata,OFAV,Florida Keys,Key West,4 w,10 d,6 w,1.183181818,0.430928415,22,27,3.8,0.873045455,0.799292156,22,1.7,0.985142857,0.787702564,21,30.3,1.141681818,0.751088631,22,30.3,2
Okazaki,2017,Y,Porites astreoides,PAST,Florida Keys,Key West,4 w,10 d,6 w,0.13925,0.140552185,4,27,3.8,0.05025,0.086473021,4,1.7,-0.150444444,0.302187901,9,30.3,NA,NA,NA,NA,NA
Okazaki,2017,Y,Porites divaricata,PDIV,Florida Keys,Key West,4 w,10 d,6 w,0.1676,0.52508636,15,27,3.8,0.080727273,0.373414807,11,1.7,0.755916667,1.121314688,12,30.3,0.272,0.951548976,12,30.3,2
Okazaki,2017,Y,Pseudodiploria strigosa,PSTR,Florida Keys,Key West,4 w,10 d,6 w,0.376571429,0.400094513,7,27,3.8,0.126428571,0.607082053,7,1.7,0.194571429,0.59801724,7,30.3,0.282142857,0.456571071,7,30.3,2
Okazaki,2017,Y,Siderastrea radians,SRAD,Florida Keys,Key West,4 w,10 d,6 w,0.255933333,0.170234069,15,27,3.8,0.092071429,0.169450453,14,1.7,0.239,0.322177209,14,30.3,0.244307692,0.298296101,13,30.3,2
Okazaki,2017,Y,Siderastrea siderea,SSID,Florida Keys,Key West,4 w,10 d,6 w,1.013125,0.642598462,16,27,3.8,0.865263158,0.480595099,19,1.7,0.910777778,0.565312881,18,30.3,0.803166667,0.590982955,18,30.3,2
Reneger,2005,N,Acropora cervicornis,ACER,Florida Keys,Broward County,NA,4 w,8 w,1.887,0.04,12,25.3,3.17,0.3,0.062,12,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
Towle,2015,Y,Acropora cervicornis,ACER,Florida Keys,South Florida,4 w,NA,8 w,1.3,0.1,10,26,3.6,1.331034483,0.089655172,10,2.2,1.410344828,0.089655172,10,30,1.210344828,0.089655172,10,30,2.5
Jury_CALC,2010,Y,Madracis auretenra,MAUR,Curacao,Seaquarium,50 d,3 h,2 h,0.956234908,0.024532453,6,28,3.91,1.105906458,0.085863585,6,3.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albright,2011,N,Porites astreoides,PAST,Florida Keys,"Little Grecian, Key Largo",NA,NA,49 d,0.739130435,0.075514874,38,28,4.3,0.62,0.03,35,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castillo,2014,Y,Siderastrea siderea,SSID,Belize,Backreeef,30 d,15 d,95 d,2.496138996,0.26593649,18,28.16,2.8,1.820197044,0.31,18,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castillo,2014,Y,Siderastrea siderea,SSID,Belize,Forereef,30 d,15 d,95 d,2.516409266,0.264459065,18,28.16,2.8,1.931034483,0.31,18,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castillo,2014,Y,Siderastrea siderea,SSID,Belize,Nearshore,30 d,15 d,95 d,2.472972973,0.26889134,18,28.16,2.8,1.884236453,0.31,18,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castillo,2014,Y,Siderastrea siderea,SSID,Belize,Backreeef,30 d,15 d,95 d,2.496138996,0.26593649,18,28.16,2.8,1.903940887,0.3,18,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castillo,2014,Y,Siderastrea siderea,SSID,Belize,Forereef,30 d,15 d,95 d,2.516409266,0.264459065,18,28.16,2.8,1.852216749,0.3,18,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castillo,2014,Y,Siderastrea siderea,SSID,Belize,Nearshore,30 d,15 d,95 d,2.472972973,0.26889134,18,28.16,2.8,1.950738916,0.3,18,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bove,2019,Y,Porites astreoides,PAST,Belize,Inshore,23 d,50 d,93 d,0.061611374,0.274881517,6,28,3.4,-0.621,0.259947,6,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bove,2019,Y,Pseudodiploria strigosa,PSTR,Belize,Inshore,23 d,50 d,93 d,0.763265306,0.624489796,2,28,3.4,0.252,0.34921538,6,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bove,2019,Y,Siderastrea siderea,SSID,Belize,Inshore,23 d,50 d,93 d,1.231213873,0.338150289,6,28,3.4,0.345,0.16355395,6,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bove,2019,Y,Undaria tenuifolia,UTEN,Belize,Inshore,23 d,50 d,93 d,0.283333333,0.080555556,5,28,3.4,-0.209,0.02384149,4,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bove,2019,Y,Porites astreoides,PAST,Belize,Offshore,23 d,50 d,93 d,0.095238095,0.142857143,6,28,3.4,-0.749,0.14567279,6,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bove,2019,Y,Pseudodiploria strigosa,PSTR,Belize,Offshore,23 d,50 d,93 d,0.444897959,0.53877551,3,28,3.4,0.124,0.19018353,10,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bove,2019,Y,Siderastrea siderea,SSID,Belize,Offshore,23 d,50 d,93 d,1.51734104,0.216763006,6,28,3.4,0.217,0.24893547,6,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bove,2019,Y,Porites astreoides,PAST,Belize,Inshore,23 d,50 d,93 d,0.061611374,0.274881517,6,28,3.4,0.14,0.15140925,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bove,2019,Y,Pseudodiploria strigosa,PSTR,Belize,Inshore,23 d,50 d,93 d,0.763265306,0.624489796,2,28,3.4,1.269,0.13821194,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bove,2019,Y,Siderastrea siderea,SSID,Belize,Inshore,23 d,50 d,93 d,1.231213873,0.338150289,6,28,3.4,1.173,0.23214843,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bove,2019,Y,Undaria tenuifolia,UTEN,Belize,Inshore,23 d,50 d,93 d,0.283333333,0.080555556,5,28,3.4,0.188,0.03310855,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bove,2019,Y,Porites astreoides,PAST,Belize,Offshore,23 d,50 d,93 d,0.095238095,0.142857143,6,28,3.4,0.012,0.08175631,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bove,2019,Y,Pseudodiploria strigosa,PSTR,Belize,Offshore,23 d,50 d,93 d,0.444897959,0.53877551,3,28,3.4,1.141,0.3868954,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bove,2019,Y,Siderastrea siderea,SSID,Belize,Offshore,23 d,50 d,93 d,1.51734104,0.216763006,6,28,3.4,1.045,0.27322783,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bove,2019,Y,Undaria tenuifolia,UTEN,Belize,Offshore,23 d,50 d,93 d,0.125,0.022222222,2,28,3.4,0.06,0.02165128,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okazaki,2017,Y,Acropora cervicornis,ACER,Florida Keys,Biscayne National Park,4 w,10 d,6 w,0.296,0.140159433,4,27,3.8,0.24575,0.13177348,4,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okazaki,2017,Y,Porites divaricata,PDIV,Florida Keys,Florida Bay,4 w,10 d,6 w,-0.1854,0.365672394,5,27,3.8,-0.149625,0.502097582,8,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okazaki,2017,Y,Siderastrea radians,SRAD,Florida Keys,Florida Bay,4 w,10 d,6 w,0.278111111,0.278428377,9,27,3.8,0.300090909,0.293009029,11,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okazaki,2017,Y,Solenastrea hyades,SHYA,Florida Keys,Florida Bay,4 w,10 d,6 w,0.421375,0.265561393,24,27,3.8,0.457695652,0.337307984,23,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okazaki,2017,Y,Dichocoenia stokesii,DSTO,Florida Keys,Key Biscayne,4 w,10 d,6 w,0.3668,0.367689679,5,27,3.8,0.272166667,0.463607341,6,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okazaki,2017,Y,Montastraea cavernosa,MCAV,Florida Keys,Key Biscayne,4 w,10 d,6 w,0.3999,0.216417457,20,27,3.8,0.35645,0.168479727,20,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okazaki,2017,Y,Porites astreoides,PAST,Florida Keys,Key Biscayne,4 w,10 d,6 w,0.192238095,0.216892578,21,27,3.8,0.069608696,0.232888334,23,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okazaki,2017,Y,Siderastrea siderea,SSID,Florida Keys,Key Biscayne,4 w,10 d,6 w,0.784,0.391211452,6,27,3.8,0.864666667,0.41294923,6,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okazaki,2017,Y,Agaricia agaricites,AAGA,Florida Keys,Key West,4 w,10 d,6 w,1.512,0.524950712,9,27,3.8,1.190444444,0.494936135,9,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okazaki,2017,Y,Dichocoenia stokesii,DSTO,Florida Keys,Key West,4 w,10 d,6 w,0.6825,0.121848266,4,27,3.8,0.988333333,0.192255906,3,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okazaki,2017,Y,Montastraea cavernosa,MCAV,Florida Keys,Key West,4 w,10 d,6 w,0.152,0.355014554,4,27,3.8,0.42125,0.306162675,4,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okazaki,2017,Y,Orbicella faveolata,OFAV,Florida Keys,Key West,4 w,10 d,6 w,1.183181818,0.430928415,22,27,3.8,0.912409091,0.729620362,22,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okazaki,2017,Y,Porites astreoides,PAST,Florida Keys,Key West,4 w,10 d,6 w,0.13925,0.140552185,4,27,3.8,0.177333333,0.07579138,3,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okazaki,2017,Y,Porites divaricata,PDIV,Florida Keys,Key West,4 w,10 d,6 w,0.1676,0.52508636,15,27,3.8,0.056454545,0.495678598,11,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okazaki,2017,Y,Pseudodiploria strigosa,PSTR,Florida Keys,Key West,4 w,10 d,6 w,0.376571429,0.400094513,7,27,3.8,0.130857143,0.561011714,7,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okazaki,2017,Y,Siderastrea radians,SRAD,Florida Keys,Key West,4 w,10 d,6 w,0.255933333,0.170234069,15,27,3.8,0.240666667,0.291978391,15,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okazaki,2017,Y,Siderastrea siderea,SSID,Florida Keys,Key West,4 w,10 d,6 w,1.013125,0.642598462,16,27,3.8,0.986705882,0.595811502,17,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
